(Cardiac Rehab),"Rehab Center 3911 Avenue B, Suite G-200 Scottsbluff, NE 69361",41.8865638,-103.6635879,Nebraska
(Covenant Healthcare Mackinaw),"5400 Mackinaw Saginaw, MI 48604",43.4786257,-83.9965839,Michigan
(Allina Health System),"P.O Box 1583 Minneapolis, MN 55440",44.9799999,-93.26,Minnesota
(St Joseph's Candler - Cardiac Rehab),"11705 Mercy Blvd Savannah, GA 31419",31.985339,-81.1551099,Georgia
PJR Cardiac Rehab Program,"2S682 Avenue Normandy East Oak Brook, IL 60523",41.8333721,-87.9978859,Illinois
Mercy Hospital St. Louis-Cardiac Rehab,"2946 Fox Bluff Dr Saint Charles, MO 63301-3719",38.8126516,-90.4816843,Missouri
Santa Cruz Valley Regional Hospital,"4455 S. I-19 Frontage Rd. Green Valley, AZ 85614",31.8066058,-111.0097148,Arizona
Astria Regional Medical Center,"110 S 9th Ave Yakima, WA 98902-3315",46.596584,-120.5211861,Washington
(Cardiac Rehabilitation),"2500 Metrohealth Dr. Cleveland, OH 44109",41.4607746,-81.6987862,Ohio
(Heart Center),"401 N. Michigan Suite 2200 Chicago, IL 60611",41.8896052,-87.6229711,Illinois
(River Falls Area Hospital Cardiac Rehabilitation),"1629 East Division St River Falls, WI 54022",44.8642838,-92.6032589,Wisconsin
(Gig Harbor Cardiac Rehabilitation Program),"PO Box 5299 MS 315-P4-CAR Tacoma, VT 98415-0299",44.5588028,-72.5778415,Vermont
(Mercy St Francis),"100 West Highway 60 PO Box 82 Mountain View, MO 64458",37.0024491,-91.7031813,Missouri
(The Cardiac Health Center on Madison Ave),"100 Madison Ave. Gagnon C Morristown, NJ 07960",40.7895831,-74.4647778,New Jersey
(Cardiac Rehab),"800 School Street Carrollton, IL 62016",39.2967849,-90.4128863,Illinois
(West Penn Hospital),"4800 Friendship Ave Pittsburgh, PA 15224-1793",40.4612819,-79.9461137,Pennsylvania
(University of Montana),"32 Campus Drive 103 McGill Hall Missoula, MT 59812",46.8624266,-113.9836088,Montana
(Wellness Center Department of Rehabilitation),"748 S. Main St. Cheboygan, MI 49721",45.6315304,-84.4818829,Michigan
(Rehab Hospital of the Pacific-Cardiac Rehab At the Wellness Center),"226 N Kuakini St Honolulu, HI 96817",21.3214998,-157.854417,Hawaii
(Hackensack University Medical Center - Cardiac Prevention & Rehabilitation),"20 Prospect Avenue Suite 200 Haledon, NJ 07508",40.883251,-74.0570006,New Jersey
(Methodist Dallas Medical Center),"1441 N. Beckley Ave Dallas, TX 75104",32.7609952,-96.8254196,Texas
(Ascension Eagle River Memorial Hospital Cardiac Rehabilitation),"201 E Hospital Road Eagle River, WI 54521",45.9282834,-89.2505059,Wisconsin
(Stephanie's Tast Facility),"1234 Test Avenue Champlin, MN 55316",45.1888539,-93.3974537,Minnesota
(Cypress Fairbanks Medical Center),"Cardiac Rehabilitation 10655 Steepletop Drive Houston, TX 77065",29.9280405,-95.5889914,Texas
(North Idaho Cardiac Rehabilitation Program),"30544 Highway 200 Ste 102 Ponderay, ID 83852-5005",48.2991228,-116.5413401,Idaho
(Spectrum Health Gerber Memorial),"212 S. Sullivan Road Fremont, MI 49412",43.4647642,-85.9514583,Michigan
(Phelps Memorial Cardiac Rehab),"1215 Tibbals Street Holdrege, NE 68949",40.4478886,-99.3834394,Nebraska
(Capital Region Medical Center Cardiac Rehabilitation),"1432 Southwest Blvd. Jefferson City, MO",38.5631877,-92.2012274,Missouri
