(Cardiac Rehab),"Rehab Center 3911 Avenue B, Suite G-200 Scottsbluff, NE 69361",41.8865638,-103.6635879,Nebraska,172,2,1
(Covenant Healthcare Mackinaw),"5400 Mackinaw Saginaw, MI 48604",43.4786257,-83.9965839,Michigan,1600,4,8
(Allina Health System),"P.O Box 1583 Minneapolis, MN 55440",44.9799999,-93.26,Minnesota,8486,22,23
(St Joseph's Candler - Cardiac Rehab),"11705 Mercy Blvd Savannah, GA 31419",31.985339,-81.1551099,Georgia,1217,5,6
PJR Cardiac Rehab Program,"2S682 Avenue Normandy East Oak Brook, IL 60523",41.8333721,-87.9978859,Illinois,20453,51,66
Mercy Hospital St. Louis-Cardiac Rehab,"2946 Fox Bluff Dr Saint Charles, MO 63301-3719",38.8126516,-90.4816843,Missouri,7947,15,30
Santa Cruz Valley Regional Hospital,"4455 S. I-19 Frontage Rd. Green Valley, AZ 85614",31.8066058,-111.0097148,Arizona,716,1,5
Astria Regional Medical Center,"110 S 9th Ave Yakima, WA 98902-3315",46.596584,-120.5211861,Washington,505,2,4
(Cardiac Rehabilitation),"2500 Metrohealth Dr. Cleveland, OH 44109",41.4607746,-81.6987862,Ohio,9432,26,29
(Heart Center),"401 N. Michigan Suite 2200 Chicago, IL 60611",41.8896052,-87.6229711,Illinois,19761,44,64
(River Falls Area Hospital Cardiac Rehabilitation),"1629 East Division St River Falls, WI 54022",44.8642838,-92.6032589,Wisconsin,2270,13,14
(Gig Harbor Cardiac Rehabilitation Program),"PO Box 5299 MS 315-P4-CAR Tacoma, VT 98415-0299",44.5588028,-72.5778415,Vermont,242,6,4
(Mercy St Francis),"100 West Highway 60 PO Box 82 Mountain View, MO 64458",37.0024491,-91.7031813,Missouri,205,1,3
(The Cardiac Health Center on Madison Ave),"100 Madison Ave. Gagnon C Morristown, NJ 07960",40.7895831,-74.4647778,New Jersey,30171,37,75
(Cardiac Rehab),"800 School Street Carrollton, IL 62016",39.2967849,-90.4128863,Illinois,142,1,4
(West Penn Hospital),"4800 Friendship Ave Pittsburgh, PA 15224-1793",40.4612819,-79.9461137,Pennsylvania,7631,11,24
(University of Montana),"32 Campus Drive 103 McGill Hall Missoula, MT 59812",46.8624266,-113.9836088,Montana,404,3,2
(Wellness Center Department of Rehabilitation),"748 S. Main St. Cheboygan, MI 49721",45.6315304,-84.4818829,Michigan,217,4,2
(Rehab Hospital of the Pacific-Cardiac Rehab At the Wellness Center),"226 N Kuakini St Honolulu, HI 96817",21.3214998,-157.854417,Hawaii,1665,3,9
(Hackensack University Medical Center - Cardiac Prevention & Rehabilitation),"20 Prospect Avenue Suite 200 Haledon, NJ 07508",40.883251,-74.0570006,New Jersey,41943,47,106
(Methodist Dallas Medical Center),"1441 N. Beckley Ave Dallas, TX 75104",32.7609952,-96.8254196,Texas,12581,25,59
(Ascension Eagle River Memorial Hospital Cardiac Rehabilitation),"201 E Hospital Road Eagle River, WI 54521",45.9282834,-89.2505059,Wisconsin,216,5,4
(Stephanie's Tast Facility),"1234 Test Avenue Champlin, MN 55316",45.1888539,-93.3974537,Minnesota,8389,20,23
(Cypress Fairbanks Medical Center),"Cardiac Rehabilitation 10655 Steepletop Drive Houston, TX 77065",29.9280405,-95.5889914,Texas,12698,16,52
(North Idaho Cardiac Rehabilitation Program),"30544 Highway 200 Ste 102 Ponderay, ID 83852-5005",48.2991228,-116.5413401,Idaho,69,1,3
(Spectrum Health Gerber Memorial),"212 S. Sullivan Road Fremont, MI 49412",43.4647642,-85.9514583,Michigan,480,5,5
(Phelps Memorial Cardiac Rehab),"1215 Tibbals Street Holdrege, NE 68949",40.4478886,-99.3834394,Nebraska,321,4,5
(Capital Region Medical Center Cardiac Rehabilitation),"1432 Southwest Blvd. Jefferson City, MO",38.5631877,-92.2012274,Missouri,967,4,6
(Shenandoah Memorial Hospital Cardiac Rehab Program),"759 S. Main St. Woodstock, VA 22664",38.8703378,-78.5125725,Virginia,655,3,4
(St. Vincent Heart Center of Indiana Cardiac Rehabilitation Program),"10580 N Meridian St Indianapolis, IN 46290-1028",39.939393,-86.159249,Indiana,5428,11,25
(Cardiac Rehabilitation),"801 E 6th St Ste 101 Panama City, FL 32401-3662",30.1592785,-85.647665,Florida,546,1,2
St. Anthony NorthHealth Campus Cardiac Rehabilitation,"14300 Orchard Pkwy Westminster, CO 80023-9206",39.9554628,-104.9915514,Colorado,5801,15,25
